Ticker,Name,Last Price,Market Cap,Trading Region,Industry,Total Revenues (LTM)
IMUX,Immunic Inc.,13.8000,187.98,United States and Canada,Biotechnology,
TNXP,Tonix Pharmaceuticals Holding Corp.,11.7400,187.15,United States and Canada,Biotechnology,17.56
SANION,Saniona AB (publ),12.6000,184.93,Europe,Biotechnology,45.34
OTLK,Outlook Therapeutics Inc.,1.5250,184.32,United States and Canada,Biotechnology,0.33
CRNOB,Cereno Scientific AB (publ),5.4050,179.36,Europe,Biotechnology,7.06
OKUR,OnKure Therapeutics Inc.,4.2950,173.50,United States and Canada,Biotechnology,
IMDX,Insight Molecular Diagnostics Inc.,5.3550,172.90,United States and Canada,Biotechnology,1.95
EQ,Equillium Inc.,2.7300,172.61,United States and Canada,Biotechnology,
NBP,NovaBridge Biosciences,1.4850,171.74,United States and Canada,Biotechnology,
ABOS,Acumen Pharmaceuticals Inc.,2.3540,170.02,United States and Canada,Biotechnology,
IPH,Innate Pharma S.A.,1.5500,168.58,Europe,Biotechnology,10.58
GALT,Galectin Therapeutics Inc.,2.5550,168.26,United States and Canada,Biotechnology,
CRBU,Caribou Biosciences Inc.,1.6940,168.01,United States and Canada,Biotechnology,11.20
PLX,Protalix BioTherapeutics Inc.,2.0750,167.19,United States and Canada,Biotechnology,76.38
ALEC,Alector Inc.,1.5050,167.09,United States and Canada,Biotechnology,18.42
SPRO,Spero Therapeutics Inc.,2.8150,162.99,United States and Canada,Biotechnology,61.19
TRMED,Thor Medical ASA,4.2900,162.56,Europe,Biotechnology,0.08
PRQR,ProQR Therapeutics N.V.,1.5350,161.73,United States and Canada,Biotechnology,15.76
DTIL,Precision BioSciences Inc.,6.2550,161.39,United States and Canada,Biotechnology,45.07
BINV,BioInvent International AB (publ),23.0500,161.28,Europe,Biotechnology,23.01
CURAS,Curasight A/S,21.5000,161.13,Europe,Biotechnology,
DVYSR,Devyser Diagnostics AB (publ),89.0000,158.88,Europe,Biotechnology,27.20
KZIA,Kazia Therapeutics Limited,13.8550,158.32,United States and Canada,Biotechnology,1.27
TNYA,Tenaya Therapeutics Inc.,0.7170,155.59,United States and Canada,Biotechnology,0.23
KRRO,Korro Bio Inc.,10.7450,154.97,United States and Canada,Biotechnology,3.84
ENLV,Enlivex Ltd.,0.6360,153.31,United States and Canada,Biotechnology,
ALSEN,Sensorion SA,0.2520,150.35,Europe,Biotechnology,6.83
CRBP,Corbus Pharmaceuticals Holdings Inc.,8.0150,148.50,United States and Canada,Biotechnology,
HURA,TuHURA Biosciences Inc.,2.2650,144.24,United States and Canada,Biotechnology,
MOLN,Molecular Partners AG,3.0300,142.99,Europe,Biotechnology,
TLSA,Tiziana Life Sciences Ltd,1.1050,142.88,United States and Canada,Biotechnology,
HAMLETB,Hamlet BioPharma AB (publ),7.1900,142.34,Europe,Biotechnology,0.01
HPHA,Heidelberg Pharma AG,2.6100,141.54,Europe,Biotechnology,3.81
VXRT,Vaxart Inc.,0.5540,138.74,United States and Canada,Biotechnology,255.61
BCX,Bioceltix S.A.,91.0000,137.21,Europe,Biotechnology,
GNLX,Genelux Corporation,3.0750,136.56,United States and Canada,Biotechnology,0.01
CTX,Captor Therapeutics Spolka Akcyjna,78.0000,135.06,Europe,Biotechnology,0.64
ACOG,Alpha Cognition Inc.,6.0500,131.73,United States and Canada,Biotechnology,10.83
SPRB,Spruce Biosciences Inc.,47.7900,131.53,United States and Canada,Biotechnology,
ADCT,ADC Therapeutics SA,1.0150,129.10,United States and Canada,Biotechnology,79.17
AGEN,Agenus Inc.,3.0750,128.05,United States and Canada,Biotechnology,123.87
CNTB,Connect Biopharma Holdings Limited,1.9850,124.98,United States and Canada,Biotechnology,0.23
FARN,Faron Pharmaceuticals Oy,0.4500,122.41,Europe,Biotechnology,
MSCL,Satellos Bioscience Inc.,8.0900,120.43,United States and Canada,Biotechnology,
RCEL,AVITA Medical Inc.,3.9100,120.34,United States and Canada,Biotechnology,72.35
ALPS,Alps Group Inc,0.7100,118.14,United States and Canada,Biotechnology,3.74
MENS,Jyong Biotech Ltd.,1.5900,118.03,United States and Canada,Biotechnology,
ENGN,enGene Therapeutics Inc.,1.7350,116.23,United States and Canada,Biotechnology,
BVXP,Bioventix PLC,16.5500,115.94,Europe,Biotechnology,16.91
ONCY,Oncolytics Biotech Inc.,0.9530,113.74,United States and Canada,Biotechnology,
COYA,Coya Therapeutics Inc.,4.8020,112.64,United States and Canada,Biotechnology,7.94
PYXS,Pyxis Oncology Inc.,1.7740,112.39,United States and Canada,Biotechnology,13.86
ALVIO,Valerio Therapeutics Société anonyme,0.1910,110.58,Europe,Biotechnology,3.02
ABNX,ABIONYX Pharma SA,2.6900,110.05,Europe,Biotechnology,4.77
4BB,4basebio PLC,5.2500,109.38,Europe,Biotechnology,2.28
XGN,Exagen Inc.,4.5250,109.32,United States and Canada,Biotechnology,68.38
PEPG,PepGen Inc.,1.5750,108.94,United States and Canada,Biotechnology,
OSE,OSE Immunotherapeutics SA,3.9900,108.78,Europe,Biotechnology,3.16
AZT,ArcticZymes Technologies ASA,20.2000,108.17,Europe,Biotechnology,13.26
ALDX,Aldeyra Therapeutics Inc.,1.7850,107.67,United States and Canada,Biotechnology,
NYKD,Nykode Therapeutics AS,3.1350,107.34,Europe,Biotechnology,0.56
KLRS,Kalaris Therapeutics Inc.,4.4940,106.92,United States and Canada,Biotechnology,
CBUS,Cibus Inc.,1.3100,99.99,United States and Canada,Biotechnology,3.64
ADOC,Adocia SA,4.4000,99.93,Europe,Biotechnology,4.52
HSTC,HST Global Inc.,0.7000,99.00,United States and Canada,Biotechnology,
FBIO,Fortress Biotech Inc.,2.9650,98.49,United States and Canada,Biotechnology,66.16
BDTX,Black Diamond Therapeutics Inc.,1.7150,98.27,United States and Canada,Biotechnology,0.00
PTHS,Pelthos Therapeutics Inc.,28.2070,98.04,United States and Canada,Biotechnology,27.70
MVIR,Medivir AB (publ),1.6900,96.80,Europe,Biotechnology,0.95
PMN,ProMIS Neurosciences Inc.,10.5140,94.29,United States and Canada,Biotechnology,
BIO,BIOTON S.A.,3.9800,93.14,Europe,Biotechnology,71.67
INO,Inovio Pharmaceuticals Inc.,1.1250,92.18,United States and Canada,Biotechnology,0.00
RNTX,Rein Therapeutics Inc.,0.9730,90.53,United States and Canada,Biotechnology,
ANIX,Anixa Biosciences Inc.,2.6450,89.99,United States and Canada,Biotechnology,
CRDF,Cardiff Oncology Inc.,1.2950,88.54,United States and Canada,Biotechnology,0.53
BIOPOR,BioPorto A/S,1.1500,88.25,Europe,Biotechnology,6.34
ATRA,Atara Biotherapeutics Inc.,9.6940,87.34,United States and Canada,Biotechnology,23.14
BNR,Burning Rock Biotech Limited,8.1860,86.33,United States and Canada,Biotechnology,74.58
BMEA,Biomea Fusion Inc.,1.1850,85.67,United States and Canada,Biotechnology,
ICCC,ImmuCell Corporation,9.4650,85.63,United States and Canada,Biotechnology,29.93
RLYB,Rallybio Corporation,15.9050,84.13,United States and Canada,Biotechnology,0.86
7V0,Darwin AG,6.0000,83.99,Europe,Biotechnology,63.80
CYPH,Cypherpunk Technologies Inc.,0.7780,82.83,United States and Canada,Biotechnology,
HBP,Helix BioPharma Corp.,1.5000,81.87,United States and Canada,Biotechnology,
ACET,Adicet Bio Inc.,7.7750,81.65,United States and Canada,Biotechnology,
S2B,Syn2bio S.A.,34.0000,80.89,Europe,Biotechnology,
MAIA,MAIA Biotechnology Inc.,1.3250,80.56,United States and Canada,Biotechnology,
LIXT,Lixte Biotechnology Holdings Inc.,6.8140,79.16,United States and Canada,Biotechnology,
ATLE,Atlas Energy Corp.,0.1750,78.78,United States and Canada,Biotechnology,
OKYO,OKYO Pharma Limited,1.4900,78.19,United States and Canada,Biotechnology,
GANX,Gain Therapeutics Inc.,1.8250,77.84,United States and Canada,Biotechnology,
CUE,Cue Biopharma Inc.,23.8900,77.77,United States and Canada,Biotechnology,32.73
ANVS,Annovis Bio Inc.,1.8250,77.64,United States and Canada,Biotechnology,
FRMM,Forum Markets Incorporated,5.2930,76.98,United States and Canada,Biotechnology,9.41
XSPRAY,Xspray Pharma AB (publ),15.2000,76.64,Europe,Biotechnology,0.26
FLUO,FluoGuide A/S,44.0000,76.49,Europe,Biotechnology,0.04
OSTX,OS Therapies Incorporated,1.7150,76.38,United States and Canada,Biotechnology,
LYTIX,Lytix Biopharma ASA,9.3600,75.47,Europe,Biotechnology,
HRTX,Heron Therapeutics Inc.,0.3890,73.63,United States and Canada,Biotechnology,150.71
CLNN,Clene Inc.,5.7140,73.02,United States and Canada,Biotechnology,0.13
SERA,Sera Prognostics Inc.,1.8450,72.25,United States and Canada,Biotechnology,0.06
XBIT,XBiotech Inc.,2.3600,71.95,United States and Canada,Biotechnology,
HEMO,Hemogenyx Pharmaceuticals Plc,7.7950,71.07,Europe,Biotechnology,
ONCO,Oncopeptides AB (publ),1.6740,70.36,Europe,Biotechnology,8.79
SYNACT,SynAct Pharma AB,12.1000,68.47,Europe,Biotechnology,
SGMO,Sangamo Therapeutics Inc.,0.1741,68.36,United States and Canada,Biotechnology,34.56
BYSI,BeyondSpring Inc.,1.6200,66.61,United States and Canada,Biotechnology,
ACRV,Acrivon Therapeutics Inc.,1.5150,64.84,United States and Canada,Biotechnology,
MNOV,MediciNova Inc.,1.3100,64.48,United States and Canada,Biotechnology,0.60
MAAT,MaaT Pharma SA,2.9300,64.00,Europe,Biotechnology,5.31
EXOZ,eXoZymes Inc.,7.4100,62.83,United States and Canada,Biotechnology,
INKT,MiNK Therapeutics Inc.,12.1150,60.36,United States and Canada,Biotechnology,
CTOR,Citius Oncology Inc.,0.6820,60.20,United States and Canada,Biotechnology,5.61
COIL,Coiled Therapeutics plc,0.1050,59.95,Europe,Biotechnology,
ENTX,Entera Bio Ltd.,1.1950,58.82,United States and Canada,Biotechnology,0.00
MCRB,Seres Therapeutics Inc.,6.0610,58.69,United States and Canada,Biotechnology,1.15
ZLNA,Zelluna ASA,21.2000,58.40,Europe,Biotechnology,0.00
SVE,Synthaverse S.A.,2.7950,57.72,Europe,Biotechnology,11.37
PMVP,PMV Pharmaceuticals Inc.,1.0750,57.33,United States and Canada,Biotechnology,
IBIO,iBio Inc.,1.5850,57.29,United States and Canada,Biotechnology,0.30
TCRX,TScan Therapeutics Inc.,0.8740,57.12,United States and Canada,Biotechnology,9.14
KALA,KALA BIO Inc.,3.0600,56.88,United States and Canada,Biotechnology,
EDSA,Edesa Biotech Inc.,6.4000,56.87,United States and Canada,Biotechnology,
CANTA,Cantargia AB (publ),2.1380,56.52,Europe,Biotechnology,33.50
CLCS,Cell Source Inc.,0.7700,55.72,United States and Canada,Biotechnology,
APTN,Adaptin Bio Inc.,6.1800,54.70,United States and Canada,Biotechnology,
2INV,2invest AG,8.4400,53.77,Europe,Biotechnology,
PDSB,PDS Biotechnology Corporation,0.9490,52.97,United States and Canada,Biotechnology,
TIL,Instil Bio Inc.,7.7130,52.31,United States and Canada,Biotechnology,
TXTM,ProText Mobility Inc.,0.0057,52.31,United States and Canada,Biotechnology,
DWTX,Dogwood Therapeutics Inc.,1.5100,50.44,United States and Canada,Biotechnology,
