Ticker,Name,Last Price,Market Cap,Trading Region,Industry,Total Revenues (LTM)
VKTX,Viking Therapeutics Inc.,29.9900,3482.01,United States and Canada,Biotechnology,
ZEAL,Zealand Pharma A/S,306.0000,3331.30,Europe,Biotechnology,1429.74
RLAY,Relay Therapeutics Inc.,15.1060,3292.21,United States and Canada,Biotechnology,10.68
ARQT,Arcutis Biotherapeutics Inc.,25.6000,3202.13,United States and Canada,Biotechnology,415.62
BEAM,Beam Therapeutics Inc.,31.4800,3133.41,United States and Canada,Biotechnology,164.01
DYN,Dyne Therapeutics Inc.,18.2070,3009.87,United States and Canada,Biotechnology,
RCUS,Arcus Biosciences Inc.,23.6780,2978.06,United States and Canada,Biotechnology,236.00
BIOAB,BioArctic AB (publ),295.8000,2790.48,Europe,Biotechnology,121.15
IDYA,IDEAYA Biosciences Inc.,30.7280,2699.79,United States and Canada,Biotechnology,225.27
IRON,Disc Medicine Inc.,70.0550,2676.04,United States and Canada,Biotechnology,
GRAL,GRAIL Inc.,59.4520,2551.48,United States and Canada,Biotechnology,156.12
CLDX,Celldex Therapeutics Inc.,32.2410,2530.66,United States and Canada,Biotechnology,0.86
RARE,Ultragenyx Pharmaceutical Inc.,25.0990,2464.45,United States and Canada,Biotechnology,670.00
VERA,Vera Therapeutics Inc.,33.8150,2427.34,United States and Canada,Biotechnology,
KLRA,Kailera Therapeutics Inc.,18.6530,2416.26,United States and Canada,Biotechnology,
ETNB,89bio Inc.,14.8400,2308.62,United States and Canada,Biotechnology,
BCRX,BioCryst Pharmaceuticals Inc.,8.9350,2270.94,United States and Canada,Biotechnology,885.72
BAVA,Bavarian Nordic A/S,182.6000,2164.75,Europe,Biotechnology,921.39
KOD,Kodiak Sciences Inc.,33.5250,2093.30,United States and Canada,Biotechnology,
AUPH,Aurinia Pharmaceuticals Inc.,16.2550,2090.42,United States and Canada,Biotechnology,298.30
NTLA,Intellia Therapeutics Inc.,14.7360,2058.95,United States and Canada,Biotechnology,66.09
IMNM,Immunome Inc.,18.1200,2052.10,United States and Canada,Biotechnology,4.01
ADMA,ADMA Biologics Inc.,8.7640,2031.26,United States and Canada,Biotechnology,509.86
ZLAB,Zai Lab Limited,17.7900,1998.79,United States and Canada,Biotechnology,453.28
VCEL,Vericel Corporation,38.8950,1986.30,United States and Canada,Biotechnology,292.09
MLYS,Mineralys Therapeutics Inc.,24.0180,1981.44,United States and Canada,Biotechnology,
GNS,Genus plc,21.7800,1954.31,Europe,Biotechnology,905.87
AGIO,Agios Pharmaceuticals Inc.,32.2470,1917.78,United States and Canada,Biotechnology,66.05
LKFT,Lakefront Biotherapeutics NV,25.0800,1915.73,Europe,Biotechnology,1206.37
NANO,Nanobiotix S.A.,31.8400,1871.72,Europe,Biotechnology,38.29
BHVN,Biohaven Ltd.,12.1800,1833.83,United States and Canada,Biotechnology,
STOK,Stoke Therapeutics Inc.,29.2660,1822.73,United States and Canada,Biotechnology,32.08
NRIX,Nurix Therapeutics Inc.,17.3450,1793.57,United States and Canada,Biotechnology,71.78
